"row","col","label"
54,139,0
77,82,0
4,86,0
119,116,0
82,118,0
19,61,0
70,44,1
14,15,0
46,103,0
4,75,0
5,149,0
6,92,0
33,80,0
5,131,0
93,70,0
4,41,0
61,68,0
64,57,0
87,144,0
87,13,0
64,126,0
74,129,0
91,38,0
31,108,0
2,100,0
125,68,0
32,31,0
17,117,0
124,61,0
15,70,0
15,140,0
46,94,0
89,23,0
6,72,0
17,134,0
49,113,0
10,57,0
84,119,0
77,44,0
43,74,0
25,59,0
79,52,0
17,6,0
78,65,0
19,142,0
53,150,0
64,51,0
44,114,0
22,141,0
51,121,0
126,60,0
71,19,0
54,80,0
101,82,0
40,62,0
34,110,0
106,63,0
45,109,0
1,150,0
52,70,0
93,153,0
24,26,0
40,124,0
56,94,0
69,150,0
1,103,0
68,142,0
118,149,0
2,28,0
107,26,0
42,32,0
71,140,0
120,98,0
65,41,0
124,122,0
56,119,0
70,30,0
39,77,0
65,144,0
87,64,0
26,64,0
82,126,0
8,44,0
60,69,0
109,109,0
5,28,0
11,142,0
58,96,0
7,44,0
87,21,0
87,72,0
58,14,0
12,54,0
79,127,0
4,63,0
62,65,0
9,90,0
32,105,0
38,80,0
54,47,0
24,13,0
63,137,0
55,33,0
96,56,0
66,54,0
6,11,0
87,123,0
55,125,0
39,128,0
77,138,0
87,87,0
73,93,0
47,4,0
106,36,0
4,77,0
37,89,0
48,137,0
44,153,0
104,96,0
59,91,0
72,116,0
39,117,1
81,120,0
21,91,0
37,130,0
61,43,0
120,60,0
42,66,0
28,103,0
18,153,0
7,40,0
9,93,0
87,87,0
43,50,0
9,43,0
40,133,0
92,139,0
57,150,0
96,3,0
65,130,0
58,127,0
3,7,0
115,107,0
3,118,0
49,13,0
49,94,0
112,37,0
27,33,0
120,72,0
12,146,0
116,81,0
39,48,0
107,88,1
17,5,0
112,52,0
25,130,0
67,41,1
106,62,0
112,119,0
32,16,0
63,108,0
123,143,0
75,32,0
105,94,0
40,147,0
74,106,0
106,84,0
9,9,0
79,11,0
99,118,0
42,42,0
87,6,0
42,61,0
39,109,0
58,72,0
80,101,1
119,30,0
29,47,0
126,96,0
88,33,0
73,118,0
125,124,0
80,150,0
105,48,1
92,105,0
10,22,0
52,17,0
66,16,0
75,133,1
55,102,0
71,50,0
76,62,0
32,46,0
35,43,0
16,86,0
16,143,0
27,80,0
108,24,0
43,78,0
61,93,0
86,10,0
82,96,0
16,136,0
90,150,0
97,77,0
10,60,0
53,89,0
96,94,0
57,148,0
108,148,0
80,14,0
26,137,0
16,96,0
44,8,0
39,41,0
63,114,0
48,70,0
59,15,0
6,118,0
85,111,0
110,30,0
102,85,0
18,107,0
