"row","col","label"
122,142,0
70,107,0
8,64,0
157,152,0
162,91,0
120,73,0
112,12,1
125,74,0
104,34,0
152,23,0
155,13,1
109,124,0
1,109,0
152,3,0
63,142,0
143,52,0
52,104,0
127,21,0
73,19,0
143,17,0
158,88,0
135,108,0
82,30,0
42,4,0
97,74,0
161,147,0
36,145,0
156,105,0
126,63,0
125,105,0
128,124,0
100,94,0
28,120,0
38,40,0
35,43,0
117,125,0
40,76,0
164,93,0
127,128,0
53,126,0
40,16,0
117,102,0
83,43,0
8,60,0
113,55,0
41,3,0
140,100,0
138,13,0
8,143,0
29,68,0
50,9,0
85,71,0
8,40,0
69,6,0
96,12,0
110,28,0
36,136,0
64,39,0
129,143,1
160,31,0
44,32,0
28,47,0
135,84,0
62,136,0
36,43,0
55,124,0
44,98,0
97,124,0
159,142,1
44,41,0
135,91,1
67,25,0
167,22,0
69,61,0
61,77,0
131,134,0
116,58,0
137,147,0
28,26,0
16,107,0
145,140,0
90,42,0
137,144,0
44,59,0
28,25,0
116,1,0
69,38,0
115,11,0
87,62,0
122,89,0
5,48,0
96,52,0
10,104,0
89,117,0
50,64,0
127,61,0
125,57,0
20,98,0
39,150,0
54,34,0
24,124,0
10,101,0
165,75,0
132,23,0
60,85,0
53,92,0
163,11,0
112,62,0
153,24,0
54,68,0
145,94,0
142,68,0
122,31,0
162,6,0
96,150,0
52,89,0
5,51,0
95,36,1
41,73,0
139,41,0
4,68,0
22,50,0
93,145,0
128,77,0
158,124,0
7,116,0
126,138,0
22,72,0
38,33,0
55,140,0
52,77,0
94,71,0
147,91,0
106,96,0
82,100,0
110,52,0
42,87,0
69,89,0
156,85,0
104,146,0
13,61,0
89,43,1
105,69,0
5,119,0
119,147,0
5,156,0
131,41,0
100,139,0
64,43,0
156,75,0
18,5,0
19,68,0
122,134,0
111,10,0
69,123,0
32,52,0
146,34,0
50,90,0
79,86,0
27,68,0
80,113,0
143,90,0
77,72,0
77,52,0
142,41,0
54,66,0
21,112,0
113,98,0
112,128,0
57,82,0
3,91,0
73,141,0
118,69,0
145,151,0
121,108,0
158,85,0
108,156,0
56,17,0
156,90,0
105,20,0
108,46,0
58,130,0
98,22,0
35,100,0
125,148,0
11,88,0
4,89,0
22,102,0
78,63,0
21,34,0
46,72,0
79,145,0
153,132,0
6,46,0
67,99,0
31,34,0
48,13,1
137,27,0
100,83,0
128,44,0
143,138,0
38,142,0
78,77,0
42,93,0
79,65,0
35,28,0
85,17,0
43,103,0
1,107,0
135,20,0
106,48,0
161,48,0
143,153,0
14,101,0
166,55,0
14,11,0
85,112,0
2,76,0
151,149,0
155,103,0
7,84,0
4,27,0
8,16,0
22,56,0
158,107,0
67,107,0
134,105,0
107,155,0
37,87,0
73,21,0
130,38,0
146,148,0
89,65,0
82,142,0
158,84,0
